flow_id,stage,numerator,denominator,percentage
B1,binary_lifting,40,40,100.0
B1,raw_ir_generation,40,40,100.0
B1,llvm_deobfuscation,40,40,100.0
B1,llvm_ir_verification,40,40,100.0
B1,pseudocode_generation,40,40,100.0
B1,llm_generation,40,40,100.0
B1,compilation,0,40,0.0
B1,fuzzing,0,40,0.0
B1,behavioral_validation,0,40,0.0
B1,candidate_acceptance,0,40,0.0
B2,binary_lifting,40,40,100.0
B2,raw_ir_generation,40,40,100.0
B2,llvm_deobfuscation,40,40,100.0
B2,llvm_ir_verification,40,40,100.0
B2,pseudocode_generation,40,40,100.0
B2,llm_generation,40,40,100.0
B2,compilation,13,40,32.5
B2,fuzzing,13,40,32.5
B2,behavioral_validation,13,40,32.5
B2,candidate_acceptance,3,40,7.5
F1,binary_lifting,40,40,100.0
F1,raw_ir_generation,40,40,100.0
F1,llvm_deobfuscation,40,40,100.0
F1,llvm_ir_verification,40,40,100.0
F1,pseudocode_generation,40,40,100.0
F1,llm_generation,40,40,100.0
F1,compilation,4,40,10.0
F1,fuzzing,4,40,10.0
F1,behavioral_validation,4,40,10.0
F1,candidate_acceptance,4,40,10.0
F2,binary_lifting,40,40,100.0
F2,raw_ir_generation,40,40,100.0
F2,llvm_deobfuscation,40,40,100.0
F2,llvm_ir_verification,40,40,100.0
F2,pseudocode_generation,40,40,100.0
F2,llm_generation,40,40,100.0
F2,compilation,0,40,0.0
F2,fuzzing,0,40,0.0
F2,behavioral_validation,0,40,0.0
F2,candidate_acceptance,0,40,0.0
F3,binary_lifting,40,40,100.0
F3,raw_ir_generation,40,40,100.0
F3,llvm_deobfuscation,40,40,100.0
F3,llvm_ir_verification,40,40,100.0
F3,pseudocode_generation,40,40,100.0
F3,llm_generation,40,40,100.0
F3,compilation,6,40,15.0
F3,fuzzing,6,40,15.0
F3,behavioral_validation,6,40,15.0
F3,candidate_acceptance,3,40,7.5
